Cluster_Label,DRUG,ADE,case_count
High severity group (Middle Age),Moderna,"high fever, chills",1
High severity group (Middle Age),Pfizer - BioNTech,"dizziness, fatigue, rash",1
High severity group (Young Adult),Covaxin,"high fever, vomiting",1
High severity group (Young Adult),Covaxin,"rash, itching",1
Low severity group (Middle Age),Johnson & Johnson vaccine,"headache, muscle pain",1
Low severity group (Middle Age),Pfizer,"chest, fatigue, discomfort, chest discomfort",1
Low severity group (Middle Age),Pfizer,"headache, fatigue",1
Medium severity group (Middle Age),Johnson & Johnson,"rash, fatigue",1
Medium severity group (Middle Age),Moderna,"rash, dizziness",1
Medium severity group (Middle Age),Pfizer booster,"fatigue, dizziness, fever",1
Medium severity group (Middle Age),astrazeneca,"joint pain, dizziness",1
Medium severity group (Middle Age),astrazeneca,"nausea, chest pain",1
Medium severity group (Middle Age),astrazeneca,"shortness of breath, chest tightness",1
Medium severity group (Middle Age),astrazeneca,"shortness of breath, muscle",1
Medium severity group (Young Adult),Covishield,"dizziness, low, fever",1
Medium severity group (Young Adult),Moderna,None,1
Medium severity group (Young Adult),Moderna booster,"swelling, redness",1
Medium severity group (Young Adult),Pfizer booster,"rash, arm pain",1
Medium severity group (Young Adult),covaxin,"nausea, bodyache",1
Medium severity group (Young Adult),covishield,"fever, fatigue",1
